Word,Meaning
提纲挈(qie)领：,抓住关键核心，简明扼要概括主旨。抓住渔网总绳、拎住衣服领口
纲举目张,抓住事物关键，带动其他环节
以一持万：,抓住关键一点，就能掌控全局、驾驭万事。
网之一孔（=罗之一目 / 网之一目）：,局部只有在整体里才有用；脱离整体，单独一个局部没用。
毛举细故：,刻意揪着细微琐事说事，回避核心问题。
达士通人：,心胸豁达、学识渊博
量体裁衣,根据实际情况办事（实事求是）
只争朝夕,抓紧时间，力争在最短时间内达到目的
朝令夕改,形容政令、主张等时常变动
缄(jiān)口不言,封住嘴巴，不开口说话
缄口不言,形容说话谨慎，不肯或不敢开口
虚怀若谷,十分谦虚，能容纳别人意见
矜功伐善,极不谦虚，夸耀自己的功劳和才能
碧空如洗,天气晴朗
厉兵秣(mo)马,准备战斗。磨好兵器，喂好马
耳提面命,恳切教导。不但当面教导，还揪着耳朵叮嘱
方兴未艾,事物正在蓬勃发展，势头正盛，不会很快停歇
如出一辙,言行模样高度相像
莫衷一是,意见纷杂，没法统一定论
"qióng qióng jié lì
茕茕孑立",形容孤身一人，无依无靠
间不容发,情势危急到极点(=岌岌可危)
势如累卵,情形很危险
春风化雨,良好的教育熏陶（教育/教诲）
和风细雨,态度温和，方式平缓
首当其冲,最先受到冲击或遭遇灾祸
望其项背,双方接近，能够赶上比得上
侧目而视,畏惧愤恨，不敢正(又气又怂)
望风披靡,军队无士气，被对方气势吓跑（怂不敢上）
闻风丧胆,胆小，极度恐惧，听到风声就极度害怕
望而却步,看见难处就退缩不前（畏难）
身体力行,去实践，努力做
"jí qū áo yá
诘屈聱牙",文句晦涩，读起来不顺口
和光同尘,收敛锋芒，低调融入世俗（随波逐流）
不名一钱,一无所有，极度贫穷
江心补漏,为时已晚，事发危急才补救。
"hàng xiè yī qì
沆瀣一气","指臭味相投的人勾结在一起（贬义）
坏人串通勾结（狼狈为奸）"
如履薄冰,非常小心谨慎
如沐春风,与知识渊博的人在一起得到熏陶
静若处子/动若脱兔,形容军队安静 /动作迅速
伯歌季舞,兄弟相处和睦融洽
炙手可热,权势气焰盛，气焰逼人
兄弟阋(xì)墙,指兄弟之间发生争吵，比喻内部不团结
举案齐眉,夫妻合得来
琴瑟不调,夫妻合不来（分钗断带）
独占鳌头,科举榜首，泛指夺得第一（第一名）
大相径庭,截然不同
如出一辙,言行模样高度雷同
